iter	Passed	Remaining
0	844	4220184
1	1828	4568381
2	2670	4448776
3	3617	4518806
4	4570	4565604
5	5607	4666995
6	6412	4573588
7	7219	4504955
8	8264	4583155
9	9165	4573338
10	10097	4579756
11	11089	4609484
12	12046	4621363
13	12958	4614995
14	13939	4632480
15	14959	4659985
16	16078	4712947
17	16860	4666572
18	17840	4676919
19	18945	4717494
20	19994	4740685
21	21015	4755342
22	22116	4785761
23	23074	4784146
24	24140	4804048
25	25078	4797651
26	25996	4788123
27	27056	4804437
28	28212	4836088
29	29834	4942627
30	31020	4972291
31	32178	4995674
32	33122	4985452
33	34416	5026841
34	35398	5021539
35	36879	5085266
36	37606	5044348
37	39171	5114952
38	40398	5138952
39	41835	5187598
40	42805	5177352
41	44027	5197348
42	45276	5219450
43	46168	5200197
44	47268	5204786
45	48385	5210912
46	49688	5236355
47	50862	5247325
48	51917	5245791
49	52807	5227896
50	53853	5225912
51	55151	5247906
52	56323	5257243
53	57204	5239507
54	58161	5229284
55	59284	5233951
56	60287	5228066
57	61095	5205761
58	62140	5203983
59	63497	5227939
60	64656	5235035
61	65817	5242068
62	66995	5250100
63	67848	5232835
64	68950	5234954
65	70376	5261187
66	71403	5257247
67	72834	5282618
68	74000	5288340
69	75055	5286040
70	76047	5279412
71	77202	5284083
72	78442	5294303
73	79471	5290250
74	80586	5291875
75	82096	5319019
76	83004	5306922
77	84035	5302851
78	85154	5304388
79	86133	5297233
80	87324	5303082
81	88420	5303068
82	89659	5311486
83	90723	5309502
84	92074	5324084
85	93214	5326240
86	94267	5323405
87	95618	5337239
88	96807	5341843
89	98179	5356246
90	99737	5380364
91	100883	5381939
92	102266	5395925
93	103355	5394267
94	104821	5412097
95	106040	5416926
96	107208	5419017
97	108788	5441642
98	110072	5449127
99	111155	5446618
100	112482	5455968
101	113601	5455109
102	114765	5456388
103	115872	5454910
104	117399	5473049
105	118620	5476682
106	119864	5481264
107	121118	5486242
108	122425	5493405
109	123589	5494127
110	124735	5493978
111	125861	5492959
112	126903	5488282
113	128187	5494059
114	129495	5500744
115	130961	5513942
116	132546	5531844
117	133530	5524557
118	134790	5528658
119	136254	5541011
120	137643	5550094
121	138711	5546184
122	140084	5554406
123	141647	5569933
124	142763	5567795
125	143962	5568836
126	145222	5572211
127	146621	5580786
128	147879	5583877
129	149279	5592238
130	150437	5591450
131	151466	5585904
132	152708	5588201
133	153716	5581976
134	154970	5584681
135	156459	5595727
136	157629	5595276
137	158916	5598915
138	160116	5599457
139	161891	5619955
140	163647	5639450
141	165025	5645735
142	166304	5648546
143	167626	5652739
144	169215	5665791
145	170823	5679302
146	172209	5685266
147	173812	5698245
148	175294	5707057
149	176251	5698804
150	177794	5709435
151	178930	5706943
152	180115	5706023
153	181533	5712422
154	183151	5724976
155	184204	5719776
156	185547	5723616
157	186957	5729426
158	188020	5724564
159	189760	5740246
160	191142	5744966
161	192870	5759926
162	194245	5764200
163	195658	5769536
164	197017	5773201
165	198505	5780581
166	199723	5780036
167	201302	5789835
168	202567	5790544
169	203996	5795907
170	205501	5803313
171	207095	5813113
172	208711	5823399
173	210333	5833745
174	211709	5837139
175	213081	5840363
176	214541	5845962
177	215921	5849301
178	217164	5848880
179	218555	5852436
180	220344	5866512
181	221858	5873157
182	223250	5876493
183	224524	5876683
184	225806	5877073
185	227362	5884533
186	228598	5883649
187	230093	5889413
188	231335	5888658
189	232797	5893459
190	234276	5898621
191	235734	5903194
192	237013	5903230
193	238504	5908528
194	240221	5919308
195	241563	5920774
196	242957	5923464
197	244384	5926942
198	246360	5943600
199	248114	5954757
200	249599	5959344
201	250779	5956637
202	252212	5959927
203	253482	5959323
204	254582	5954750
205	255852	5954168
206	257130	5953748
207	258553	5956684
208	259973	5959490
209	261372	5961786
210	262952	5968151
211	264094	5964550
212	265821	5974129
213	267318	5978434
214	268771	5981719
215	269972	5979399
216	271419	5982488
217	272598	5979651
218	273686	5974867
219	275024	5975522
220	276297	5974773
221	277534	5973242
222	278603	5968111
223	279858	5966990
224	281062	5964769
225	282446	5966370
226	283811	5967536
227	285117	5967466
228	286460	5968128
229	287730	5967277
230	289175	5970038
231	290298	5966129
232	291507	5964028
233	292956	5966801
234	294408	5969595
235	295618	5967492
236	297426	5977385
237	299303	5988576
238	301142	5998911
239	302420	5998005
240	303615	5995460
241	304724	5991245
242	306267	5995538
243	307690	5997433
244	309017	5997452
245	310425	5999028
246	311579	5995701
247	313082	5999061
248	314490	6000572
249	316124	6006373
250	317618	6009448
251	319301	6016050
252	320507	6013626
253	322077	6018022
254	323227	6014564
255	324513	6013637
256	325668	6010298
257	326935	6009032
258	327980	6003697
259	329179	6001195
260	330565	6002114
261	331761	5999569
262	333168	6000838
263	334597	6002478
264	335802	6000086
265	336789	5993831
266	338166	5994531
267	339608	5996375
268	340881	5995209
269	342292	5996465
270	343395	5992308
271	344626	5990420
272	346048	5991830
273	347295	5990213
274	348620	5989937
275	350058	5991581
276	351292	5989718
277	352717	5991128
278	354105	5991863
279	355395	5990960
280	356492	5986785
281	357701	5984524
282	358703	5978811
283	360036	5978629
284	361153	5974878
285	362547	5975701
286	364130	5979608
287	365372	5977902
288	366969	5981988
289	368532	5985480
290	370222	5990991
291	371745	5993758
292	373498	6000193
293	375093	6004045
294	376771	6009191
295	378679	6017934
296	380037	6017907
297	381548	6020268
298	382979	6021358
299	384225	6019525
300	385882	6024121
301	387339	6025565
302	388808	6027165
303	390528	6032640
304	391928	6033132
305	393214	6031857
306	394432	6029545
307	395754	6028832
308	397302	6031534
309	398779	6033141
310	400333	6035903
311	401889	6038650
312	403599	6043672
313	404745	6040251
314	406198	6041399
315	407670	6042806
316	409004	6042177
317	410724	6047201
318	412143	6047785
319	413992	6054646
320	415667	6058897
321	417036	6058690
322	418242	6056094
323	419830	6059041
324	421399	6061666
325	423118	6066429
326	424699	6069174
327	426103	6069369
328	427462	6068928
329	428917	6069832
330	430446	6071763
331	432056	6074816
332	434038	6083058
