iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
0	2.201800432	0.2494936636	0.06668265771	0.1160827353	0.2339808951	0.3312640338	0.3509373851	0.2451394759	0.4214125693	0.2256708697	0.1922498119	0.03831015482
1	2.143295082	0.2610381344	0.08244994111	0.1152750384	0.2368892873	0.3371026243	0.3534652168	0.273549201	0.4047587221	0.2238703475	0.2717006573	0.07754906654
2	2.077465682	0.2939355361	0.2058165548	0.1083510764	0.2251057005	0.4392357254	0.3599748269	0.2893041237	0.4099745274	0.2411114431	0.2861410788	0.2097162097
3	2.020180554	0.3200914299	0.23728223	0.1171912833	0.275462636	0.4721461187	0.3900204893	0.3050769584	0.4123134328	0.2593931772	0.3120188531	0.2542866386
4	1.862917889	0.4095827788	0.3275923933	0.3511053316	0.4011142061	0.5707859553	0.4275626978	0.4089169106	0.4283600161	0.4221376467	0.3511689942	0.3307468477
5	1.78543838	0.4225160581	0.3366551912	0.3568920105	0.4061810155	0.573	0.4474224315	0.4296883603	0.4580688724	0.4265997491	0.3579839849	0.3445320535
6	1.741746464	0.4256698108	0.339755465	0.3577415086	0.406151519	0.5811445248	0.4500543544	0.4345458506	0.4586878946	0.4273024778	0.3679097462	0.3460219479
7	1.706053983	0.4278108906	0.3408708653	0.3574600355	0.4053951847	0.5844222393	0.4522600919	0.4379385965	0.4676033283	0.4261136713	0.365830721	0.3530008453
8	1.682680917	0.430385973	0.3457537356	0.3630742049	0.410321275	0.5795512494	0.4524011129	0.4399252501	0.4729839805	0.427562922	0.3707530922	0.3557205535
9	1.629592678	0.4484115503	0.3883994126	0.4350580781	0.4102500619	0.580073427	0.4740740741	0.4398846495	0.4995170415	0.4279733292	0.4182322144	0.3600897635
10	1.597087275	0.4552687923	0.4013121925	0.4404484874	0.4095226348	0.579984837	0.4838216561	0.4413624764	0.5061213133	0.4291033199	0.4347559103	0.3851650221
11	1.576653569	0.4601296221	0.4017467249	0.4435568636	0.4164410534	0.590747331	0.4896445922	0.4460767947	0.5024533857	0.4317180617	0.4425427873	0.3965545801
12	1.557096463	0.4635437764	0.4061135371	0.4465408805	0.419554907	0.5906828334	0.4949910095	0.4448906738	0.5089022852	0.4357524348	0.4500918555	0.4013955807
13	1.545602926	0.4676812684	0.40771751	0.4505219207	0.4292539508	0.5944064957	0.5029909635	0.4481906046	0.5115175206	0.4365042537	0.4525011473	0.405135045
14	1.530821405	0.4716162259	0.4121831114	0.4534616189	0.4340518816	0.5949285622	0.5115681234	0.4489613581	0.5152618314	0.4384828862	0.4556612458	0.4153333333
15	1.522276022	0.4728603669	0.4177745402	0.4524453694	0.4364129764	0.5976744186	0.5132877752	0.4496228752	0.51538892	0.4372234935	0.4565217391	0.4146955209
