iter	MultiClass
0	2.132693294
1	2.021289999
2	1.951858048
3	1.892091624
4	1.852762207
5	1.821989568
6	1.797075397
7	1.769406446
8	1.751616032
9	1.737102959
10	1.720123129
11	1.708410202
12	1.698521882
13	1.68488031
14	1.674726459
15	1.665274984
16	1.656711542
17	1.64684286
18	1.639300478
19	1.630348622
20	1.624631692
21	1.619934925
22	1.61157269
23	1.60613099
24	1.599437851
25	1.591526653
26	1.585301737
27	1.579251891
28	1.574643024
29	1.570070903
30	1.565957211
31	1.558463806
32	1.552446574
33	1.546502103
34	1.541219948
35	1.535630648
36	1.528592222
37	1.52275756
38	1.518937792
39	1.514159769
40	1.509044252
41	1.503700195
42	1.498186959
43	1.493335864
44	1.487285045
45	1.484948883
46	1.481163417
47	1.475103057
48	1.470205589
49	1.465318034
50	1.459995071
51	1.456065286
52	1.451754419
53	1.445866768
54	1.440777593
55	1.436461247
56	1.432682559
57	1.429092716
58	1.426302626
59	1.42293442
60	1.419397897
61	1.414643746
62	1.411203014
63	1.406671322
64	1.40261882
65	1.39923154
66	1.395555102
67	1.391727263
68	1.388388022
69	1.383728795
70	1.379924356
71	1.375486475
72	1.371439825
73	1.36816104
74	1.364696548
75	1.360935144
76	1.357451709
77	1.353559641
78	1.351614074
79	1.347810075
80	1.344763795
81	1.339397171
82	1.335639226
83	1.331726719
84	1.327395154
85	1.32337642
86	1.32106438
87	1.318935527
88	1.315707196
89	1.312609652
90	1.308920881
91	1.305497631
92	1.301109936
93	1.297774628
94	1.294138774
95	1.289833544
96	1.287284847
97	1.28436657
98	1.281070629
99	1.278922849
100	1.276323045
101	1.273638025
102	1.269228441
103	1.266608808
104	1.26366434
105	1.261801732
106	1.258454885
107	1.256163144
108	1.25402069
109	1.250997808
110	1.248381255
111	1.245323412
112	1.242288479
113	1.239951953
114	1.237231625
115	1.233701567
116	1.231633305
117	1.228787268
118	1.22566954
119	1.223018262
120	1.22065862
121	1.216680014
122	1.21458061
123	1.210587136
124	1.207945366
125	1.205146014
126	1.202469158
127	1.200233229
128	1.197338014
129	1.193304961
130	1.190304113
131	1.187209065
132	1.184488564
133	1.182300869
134	1.179771668
135	1.177519943
136	1.174276977
137	1.171043837
138	1.168666779
139	1.166337762
140	1.162488785
141	1.159173144
142	1.156610939
143	1.155043824
144	1.151890262
145	1.149289219
146	1.147109833
147	1.144103182
148	1.141747485
149	1.139607662
150	1.137851322
151	1.135458126
152	1.133283932
153	1.130924822
154	1.129075697
155	1.126484031
156	1.123317203
157	1.121503997
158	1.118543303
159	1.116243544
160	1.114165728
161	1.112609677
162	1.109955055
163	1.107479896
164	1.105146911
165	1.10322131
166	1.099803622
167	1.096979085
168	1.093805614
169	1.091832588
170	1.089317016
171	1.087512067
172	1.085452202
173	1.082807295
174	1.079650133
175	1.077225596
176	1.075095149
177	1.072977601
178	1.070925638
179	1.068822549
180	1.066057839
181	1.06401104
182	1.060813585
183	1.058361563
184	1.055826733
185	1.053664686
186	1.051022982
187	1.048936165
188	1.045820446
189	1.043532687
190	1.040954877
191	1.039313834
192	1.03727125
193	1.035345305
194	1.032796377
195	1.02975607
196	1.027499972
197	1.02547998
198	1.023560411
199	1.021482792
200	1.01970435
201	1.017657968
202	1.015777519
203	1.013564238
204	1.012225405
205	1.010304193
206	1.007880502
207	1.005087668
208	1.002628542
209	0.9999963853
210	0.9981077954
211	0.9957544003
212	0.9929999933
213	0.9907748867
214	0.9888996735
215	0.9859553303
216	0.9841386149
217	0.9820806074
218	0.9801499347
219	0.978374656
220	0.976620942
221	0.9751788898
222	0.97353289
223	0.9720144603
224	0.9694973033
225	0.9674639977
226	0.9651463976
227	0.9635618634
228	0.9622339763
229	0.9598019723
230	0.95771878
231	0.9558132117
232	0.9536051222
233	0.9518323165
234	0.950656168
235	0.9495386492
236	0.9479452051
237	0.9460053179
238	0.9443713671
239	0.9420513155
240	0.9394399993
241	0.937845583
242	0.936320525
243	0.9343788828
244	0.9320514456
245	0.9299892246
246	0.9284434506
247	0.9267923755
248	0.9250282315
249	0.9234696674
250	0.9219089046
251	0.9196602428
252	0.9175311102
253	0.9149669475
254	0.912984362
255	0.9117360211
256	0.9102434776
257	0.9085150566
258	0.9065087746
259	0.9048255266
260	0.9029628597
261	0.9019734892
262	0.9000763715
263	0.8985999632
264	0.8966016522
265	0.8953828896
266	0.8936691872
267	0.8920233591
268	0.890529875
269	0.8892821344
270	0.8872148589
271	0.885759454
272	0.8842668632
273	0.8829832376
274	0.8815784997
275	0.8802072082
276	0.8782017672
277	0.8769300762
278	0.8748104906
279	0.8736509221
280	0.8718082764
281	0.8703281788
282	0.8689984837
283	0.8674669234
284	0.8659109378
285	0.8640566327
286	0.8621413584
287	0.860940873
288	0.8597034894
289	0.8582694674
290	0.8564557076
291	0.8548699598
292	0.8529862433
293	0.8515809234
294	0.8508406213
295	0.8492927932
296	0.8482649876
297	0.8471864176
298	0.8454153249
299	0.8439953798
300	0.8424459338
301	0.8407492723
302	0.8388943897
303	0.8368928855
304	0.8355672357
305	0.8341896946
306	0.8330505139
307	0.8315432556
308	0.8302775498
309	0.8289257874
310	0.8279218469
311	0.8263820285
312	0.8243739983
313	0.8226684618
314	0.8212198282
315	0.8198086384
316	0.8180427243
317	0.816594368
318	0.8146123623
319	0.8131289679
320	0.8115363103
321	0.8099270073
322	0.8086985136
323	0.8069624182
324	0.8054522715
325	0.8040854804
326	0.8026020508
327	0.801355822
328	0.8000816088
329	0.7982499481
330	0.7972177174
331	0.7958746355
332	0.79501682
333	0.7929127136
334	0.7911568109
335	0.7891938295
336	0.7877516136
337	0.7859015674
338	0.7847122215
339	0.7831361309
340	0.7818243627
341	0.7803066024
342	0.7794771737
343	0.7780935112
344	0.7766918683
345	0.7753143825
346	0.7733609125
347	0.7722436602
348	0.7703907512
349	0.7685634434
350	0.7677237162
351	0.7664830547
352	0.7650010889
353	0.7639078059
354	0.7623686137
355	0.7607185245
356	0.7594794709
357	0.7578333162
358	0.7565265377
359	0.7554193793
360	0.7545817346
361	0.7531551064
362	0.7517900984
363	0.7505685431
364	0.7496870716
365	0.7484747647
366	0.7474188729
367	0.7462014604
368	0.7449904208
369	0.743778739
370	0.7432457882
371	0.7420888884
372	0.7411230383
373	0.7402561334
374	0.7391511008
375	0.7374436686
376	0.7361537369
377	0.7348375786
378	0.733264679
379	0.7315149072
380	0.7304719583
381	0.7294162383
382	0.7282553401
383	0.7267929772
384	0.7256732171
385	0.7245547214
386	0.7229832025
387	0.7217170602
388	0.720214173
389	0.7190040176
390	0.718185927
391	0.716673969
392	0.7155112569
393	0.7144562434
394	0.7133004685
395	0.7119691296
396	0.7105006731
397	0.7093773309
398	0.7084618255
399	0.7073799336
400	0.7066527881
401	0.7054690424
402	0.7044236479
403	0.7031884769
404	0.7021175217
405	0.7009198144
406	0.7001526256
407	0.6991784175
408	0.6978594717
409	0.6968386496
410	0.6955585877
411	0.69443637
412	0.693360111
413	0.6926156366
414	0.6920095248
415	0.6906900488
416	0.6898700427
417	0.6888721355
418	0.6877093696
419	0.6868441505
420	0.6858296367
421	0.6852176757
422	0.6838096057
423	0.6827489705
424	0.6817788416
425	0.6809678294
426	0.6802076507
427	0.6793582788
428	0.6786262442
429	0.6775596228
430	0.6765879946
431	0.6754434998
432	0.6744019635
433	0.6735564918
434	0.6726719056
435	0.6719348659
436	0.6710029047
437	0.6696748913
438	0.668593058
439	0.6676277105
440	0.6667200092
441	0.665871446
442	0.6645193762
443	0.6631713688
444	0.6623152709
445	0.6614292588
446	0.6604654263
447	0.6592059687
448	0.6582602989
449	0.6572748412
450	0.656047571
451	0.6553413889
452	0.6542301603
453	0.6533396915
454	0.6521193361
455	0.6512458445
456	0.6498613391
457	0.6488329844
458	0.6478411284
459	0.6468503181
460	0.646018725
461	0.6450839573
462	0.6443151793
463	0.6431513688
464	0.6422629835
465	0.6413093766
466	0.6403232637
467	0.6392199909
468	0.638267859
469	0.63720703
470	0.6361584314
471	0.6355399678
472	0.6347918813
473	0.6335131287
474	0.6326529691
475	0.6315646211
476	0.6305899982
477	0.6296088896
478	0.6283016259
479	0.627401524
480	0.6264431054
481	0.6256988954
482	0.6244544673
483	0.6236215251
484	0.6228487246
485	0.6219734798
486	0.6214318942
487	0.6206692388
488	0.6197460387
