iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN	F1:class=2_TP	F1:class=2_TP+FP	F1:class=2_TP+FN	F1:class=3_TP	F1:class=3_TP+FP	F1:class=3_TP+FN	F1:class=4_TP	F1:class=4_TP+FP	F1:class=4_TP+FN	F1:class=5_TP	F1:class=5_TP+FP	F1:class=5_TP+FN	F1:class=6_TP	F1:class=6_TP+FP	F1:class=6_TP+FN	F1:class=7_TP	F1:class=7_TP+FP	F1:class=7_TP+FN	F1:class=8_TP	F1:class=8_TP+FP	F1:class=8_TP+FN	F1:class=9_TP	F1:class=9_TP+FP	F1:class=9_TP+FN
0	0	0	2601	0	0	1901	1497	7618	2858	1047	2189	1373	780	2931	2120	1113	4608	2563	0	0	1145	0	0	1239	1164	3047	2428	0	0	2165
1	0	0	2601	0	0	1901	1394	6684	2858	1054	2198	1373	767	2766	2120	1349	5578	2563	0	0	1145	0	0	1239	1225	3167	2428	0	0	2165
2	2	11	2601	0	0	1901	1428	6517	2858	1055	2177	1373	717	2455	2120	1508	5807	2563	0	0	1145	0	0	1239	1328	3426	2428	0	0	2165
3	2	12	2601	0	0	1901	1294	5715	2858	1076	2205	1373	697	2322	2120	1619	6584	2563	0	0	1145	0	0	1239	1331	3555	2428	0	0	2165
4	35	125	2601	0	0	1901	1277	5529	2858	1056	2135	1373	681	2255	2120	1699	6858	2563	0	0	1145	0	0	1239	1336	3485	2428	2	6	2165
5	36	136	2601	0	0	1901	1270	5437	2858	1054	2100	1373	696	2336	2120	1729	6978	2563	0	0	1145	2	6	1239	1308	3391	2428	2	9	2165
6	32	103	2601	0	0	1901	1373	5846	2858	1051	2014	1373	702	2328	2120	1704	6629	2563	0	0	1145	11	33	1239	1329	3419	2428	7	21	2165
7	8	36	2601	0	0	1901	1386	5887	2858	1051	2007	1373	726	2454	2120	1692	6584	2563	0	0	1145	14	46	1239	1317	3373	2428	2	6	2165
8	23	143	2601	0	0	1901	1362	5817	2858	1054	1982	1373	730	2485	2120	1680	6559	2563	0	0	1145	17	51	1239	1312	3349	2428	2	7	2165
9	28	133	2601	0	0	1901	1344	5709	2858	1052	1942	1373	733	2493	2120	1719	6683	2563	0	0	1145	24	69	1239	1313	3357	2428	2	7	2165
10	30	124	2601	1	5	1901	1371	5804	2858	1051	1905	1373	739	2493	2120	1703	6643	2563	0	0	1145	18	50	1239	1319	3367	2428	0	2	2165
11	27	116	2601	0	0	1901	1391	5821	2858	1049	1888	1373	739	2491	2120	1725	6658	2563	0	0	1145	17	52	1239	1321	3360	2428	2	7	2165
12	5	30	2601	0	0	1901	1420	5895	2858	1047	1865	1373	736	2482	2120	1739	6682	2563	0	0	1145	15	45	1239	1329	3391	2428	1	3	2165
13	10	47	2601	0	0	1901	1410	5837	2858	1048	1866	1373	736	2473	2120	1747	6723	2563	0	0	1145	14	46	1239	1336	3397	2428	1	4	2165
14	5	30	2601	0	0	1901	1422	5868	2858	1048	1870	1373	736	2475	2120	1746	6692	2563	0	0	1145	14	44	1239	1342	3411	2428	1	3	2165
15	11	35	2601	0	0	1901	1447	6014	2858	1048	1859	1373	738	2497	2120	1714	6552	2563	0	0	1145	12	36	1239	1337	3398	2428	0	2	2165
16	10	46	2601	0	0	1901	1433	5943	2858	1048	1852	1373	736	2485	2120	1738	6630	2563	0	0	1145	12	39	1239	1338	3396	2428	0	2	2165
17	9	29	2601	0	0	1901	1450	6006	2858	1047	1853	1373	737	2480	2120	1733	6568	2563	0	0	1145	13	41	1239	1347	3413	2428	1	3	2165
18	9	34	2601	0	0	1901	1471	6119	2858	1048	1839	1373	735	2474	2120	1722	6464	2563	0	0	1145	13	36	1239	1351	3424	2428	1	3	2165
19	12	45	2601	0	0	1901	1485	6171	2858	1045	1814	1373	736	2478	2120	1713	6430	2563	0	0	1145	14	40	1239	1347	3411	2428	1	4	2165
20	12	53	2601	0	0	1901	1497	6243	2858	1047	1838	1373	733	2453	2120	1696	6333	2563	0	0	1145	15	39	1239	1356	3430	2428	1	4	2165
21	11	48	2601	0	0	1901	1516	6298	2858	1051	1825	1373	735	2453	2120	1685	6257	2563	0	0	1145	14	38	1239	1373	3470	2428	1	4	2165
22	13	52	2601	0	0	1901	1510	6210	2858	1056	1826	1373	734	2446	2120	1705	6314	2563	0	0	1145	18	48	1239	1383	3493	2428	1	4	2165
23	14	61	2601	0	1	1901	1523	6257	2858	1059	1826	1373	735	2455	2120	1703	6258	2563	0	0	1145	14	45	1239	1381	3487	2428	1	3	2165
24	11	56	2601	0	1	1901	1548	6356	2858	1062	1817	1373	736	2442	2120	1697	6146	2563	0	0	1145	14	44	1239	1397	3529	2428	1	2	2165
25	16	74	2601	4	7	1901	1562	6416	2858	1072	1817	1373	737	2443	2120	1679	6038	2563	0	0	1145	13	37	1239	1418	3560	2428	1	1	2165
26	15	71	2601	3	7	1901	1570	6431	2858	1088	1832	1373	738	2449	2120	1686	6004	2563	0	0	1145	12	39	1239	1422	3560	2428	0	0	2165
