iter	Passed	Remaining
0	101	10146815
1	155	7763915
2	214	7137998
3	271	6779945
4	319	6385411
5	378	6306122
6	434	6209674
7	484	6056773
8	533	5927681
9	582	5824832
10	629	5724919
11	678	5653806
12	728	5604586
13	778	5557807
14	826	5509194
15	875	5469875
16	925	5441971
17	975	5417485
18	1042	5485212
19	1119	5598576
20	1185	5642504
21	1238	5626361
22	1290	5610773
23	1343	5594537
24	1395	5580577
25	1446	5562508
26	1505	5575360
27	1555	5552846
28	1604	5529556
29	1653	5509100
30	1707	5506831
31	1757	5490342
32	1808	5478665
33	1857	5461705
34	1907	5448142
35	1957	5435630
36	2007	5424966
37	2056	5408580
38	2103	5391002
39	2152	5378176
40	2206	5379061
41	2254	5365920
42	2302	5352635
43	2351	5341742
44	2399	5329257
45	2448	5319507
46	2498	5313858
47	2546	5303200
48	2595	5294872
49	2644	5287037
50	2693	5279142
51	2741	5269044
52	2789	5260518
53	2840	5256613
54	2889	5251183
55	2936	5240995
56	2986	5237095
57	3037	5233171
58	3085	5227323
59	3134	5221477
60	3184	5216848
61	3232	5209916
62	3281	5205822
63	3329	5198906
64	3378	5194956
65	3429	5192624
66	3478	5187749
67	3527	5184239
68	3577	5180636
69	3625	5175490
70	3673	5170229
71	3720	5163228
72	3768	5159102
73	3816	5154229
74	3864	5149160
75	3913	5145889
76	3960	5140103
77	4008	5134904
78	4056	5130147
79	4105	5128314
80	4154	5124590
81	4204	5123258
82	4252	5118642
83	4300	5115588
84	4350	5113858
85	4399	5111543
86	4447	5107993
87	4497	5106244
88	4545	5102453
89	4592	5097849
90	4640	5095053
91	4687	5090959
92	4737	5089063
93	4784	5085638
94	4835	5085496
95	4885	5083745
96	4932	5080076
97	4979	5075957
98	5031	5077004
99	5079	5074796
100	5128	5072554
101	5177	5070965
102	5227	5069718
103	5275	5067311
104	5326	5067417
105	5373	5064229
106	5425	5064869
107	5473	5062896
108	5525	5063540
109	5575	5062969
110	5623	5060314
111	5673	5060028
112	5724	5060383
113	5773	5058615
114	5822	5056924
115	5873	5057918
116	5922	5055899
117	5968	5052436
118	6017	5050747
119	6065	5048323
120	6113	5046083
121	6162	5044782
122	6212	5044211
123	6259	5041881
124	6308	5040741
125	6358	5039817
126	6407	5038592
127	6455	5037131
128	6503	5034826
129	6552	5034167
130	6600	5031620
131	6650	5031437
132	6699	5030577
133	6748	5029371
134	6798	5028994
135	6847	5027986
136	6897	5027986
137	6946	5026887
138	6996	5026759
139	7045	5025196
140	7093	5023749
141	7140	5021678
142	7188	5019877
143	7236	5017767
144	7286	5017746
145	7337	5018329
146	7387	5018133
147	7436	5017145
148	7488	5018264
149	7537	5017517
150	7586	5016411
151	7634	5014777
152	7680	5012202
153	7730	5011987
154	7779	5011322
155	7828	5010520
156	7875	5008391
157	7924	5007358
158	7972	5005961
159	8022	5005736
160	8070	5004728
161	8119	5004043
162	8168	5002898
163	8220	5004232
164	8270	5004444
165	8320	5004275
166	8370	5004027
167	8420	5003813
168	8471	5004352
169	8521	5004394
170	8571	5004057
171	8620	5003580
172	8670	5003464
173	8721	5003557
174	8771	5003302
175	8819	5002108
176	8867	5001286
177	8916	5000302
178	8965	4999789
179	9016	5000370
180	9065	4999647
181	9115	4999169
182	9163	4998332
183	9213	4998065
184	9261	4997083
185	9310	4996382
186	9361	4996759
187	9411	4996965
188	9460	4996159
189	9509	4995602
190	9558	4995133
191	9612	4997015
192	9661	4996040
193	9710	4995472
194	9760	4995722
195	9809	4995186
196	9860	4995353
197	9910	4995348
198	9960	4995342
199	10011	4995515
200	10059	4994901
201	10109	4994358
202	10164	4996933
203	10212	4995930
204	10262	4995764
205	10310	4994759
206	10359	4994260
207	10410	4994506
208	10461	4995060
209	10510	4994589
210	10558	4993665
211	10610	4994308
212	10658	4993379
213	10707	4992850
214	10759	4993588
215	10809	4993495
216	10859	4993668
217	10909	4993523
218	10956	4992103
219	11004	4990935
220	11056	4991730
221	11106	4991880
222	11157	4992110
223	11208	4992442
224	11258	4992633
225	11308	4992620
226	11358	4992603
227	11409	4992944
228	11463	4994646
229	11514	4994881
230	11565	4994964
231	11615	4995226
232	11665	4995085
233	11716	4995127
234	11764	4994518
235	11815	4994759
236	11867	4995589
237	11918	4995716
238	11970	4996522
239	12019	4996162
240	12069	4996212
241	12120	4996175
242	12170	4996118
243	12218	4995352
244	12270	4996125
245	12319	4995694
246	12370	4995758
247	12421	4996069
248	12469	4995492
